"word_from","ar","de","es","fr","it","ja","ko","pt"
"Single room with a shared bathroom","","Einzelzimmer mit eigenem Badezimmer","Habitación individual con baño compartido","Chambre indidivuelle avec salle de bain partagée","Camera singola con bagno in comune","共用バスルーム付きシングルルーム","공용 욕실이 있는 싱글룸","Quarto individual com banheiro compartilhado"
"Single, semi-private, twin rooms","غرف فردية، شبه خاصة، مزدوجة","Einzel-, halbprivate und Zweibettzimmer","Habitaciones individuales, semiprivadas y dobles","Chambres individuelles, semi-privées et jumelles","Camere singole, semi-private e doppie","シングルルーム、セミプライベートルーム、ツインルーム","싱글룸, 세미프라이빗룸, 트윈룸","Quartos individuais, semi-privativos e duplos"
"Single, twin and quad rooms with shared bathroom","","Einzel- , Zweibett- und Vierbettzimmer mit geteiltem Bad","Habitaciones Individuales, twin y cuádruple con baño compartido","","","","공용 욕실을 갖춘 싱글, 트윈 및 쿼드 룸",""
"Sleeping pods","","Schlafzimmer mit Bettnischen","Cápsulas dormitorio","Chambres avec lits capsules","Camere da letto con sleeping pod","スリープポッド付きの寝室","수면 포드가 있는 침실","Quartos com cápsulas para dormir"
"Small classes (avg. 7 students per class)","فصول صغيرة يتراوح عدد الطلاب (7 طلاب للفصل)","Kleine Klassen (Ø 7 Schüler/Klasse)","Clases reducidas (7 promedio)","Petites classes (en moy. 7 étudiants)","Classi poco numerose (media 7 studenti/classe)","小規模クラス(平均 7人/クラス)","소규모 수업 (평균 7명/반)","Turmas pequenas (média de 7 alunos por sala)"
"Small classes (avg. 7 students/class)","فصول صغيرة يتراوح عدد الطلاب (7 طلاب للفصل)","Kleine Klassen (Ø 7 Schüler/Klasse)","Clases reducidas (7 promedio)","Petites classes (en moy. 7 étudiants)","Classi piccole (media 7 studenti)","少人数制クラス(1クラス平均7名)","소규모 수업 (평균 7명/반)","Turmas pequenas (média de 7 alunos)"
"Small fitness room, study rooms, lounge and rooftop terrace","غرفة لياقة بدنية صغيرة، غرف دراسية، صالة، وتراس على السطح","Kleiner Fitnessraum, Studienräume, Lounge und Dachterrasse","Pequeña sala de fitness, salas de estudio, salón y terraza en la azotea","Petite salle de fitness, salles d’étude, lounge et terrasse sur le toit","Piccola sala fitness, sale studio, lounge e terrazza panoramica","小さなフィットネスルーム、勉強部屋、ラウンジ、屋上テラス","작은 피트니스 룸, 스터디룸, 라운지 및 루프탑 테라스","Pequena sala de fitness, salas de estudo, lounge e terraço na cobertura"
"Social, Educational or Conversatory Work","اجتماعي او علمي او موسيقي","Sozialarbeit & Umweltschutz","Campo social, educación y medio ambiente","Travail social ou éducatif","Lavoro sociale, educativo o conversazionale","社会、教育、または自然での仕事","다양한 의사소통 기회를 통해 높이는 국제적인 시야와 학습","Trabalho social, educacional ou conversação"
"Social, or conversatory Work","اجتماعي او علمي او موسيقي","Sozialarbeit & Umweltschutz","Campo social, y medio ambiente","Travail social ou éducatif","Lavoro sociale, o conversazionale","社会、教育、または自然での仕事","소통하며 국제적 시야와 학습 늘리기","Trabalho social, ou conversação"
"Speaking, Grammar, Writing, Reading, Pronunciation, Listening and more","التحدث، القواعد، الكتابة، القراءة، النطق، الاستماع والمزيد","Sprechen, Grammatik, Schreiben, Lesen, Aussprache, Hörverständnis und mehr","Expresión oral y escrita, gramática comprensión oral y escrita y más","Expression orale, Grammaire, Écriture, Lecture, Prononciation, Compréhension auditive et plus","Conversazione, Grammatica, Scrittura, Lettura, Pronuncia, Ascolto e altro","会話、文法、ライティング、読解、発音、リスニングなど","말하기, 문법, 쓰기, 읽기, 발음, 듣기 등","Fala, Gramática, Escrita, Leitura, Pronúncia, Compreensão Auditiva e mais"
"Specialized preparation for the Cambridge exam","التحضير المتخصص لامتحان كامبريدج","Vorbereitung auf das Cambridge Examen","Preparación especializada para el examen de Cambridge","Préparation spécialisée pour l'examen de Cambridge","Preparazione specializzata per l'esame Cambridge","ケンブリッジ試験のための専門的な準備","케임브리지 시험을 위한 전문 준비","Preparação especializada para o exame de Cambridge"
"Specialized preparation for the TOEFL exam","التحضير المتخصص لامتحان TOEFL","Spezielle Vorbereitung auf das TOEFL Examen","Preparación especializada para el examen TOEFL","Préparation spécialisée pour l'examen TOEFL","Preparazione specializzata per l'esame TOEFL","TOEFL試験のための専門的な準備","TOEFL 시험을 위한 전문적인 준비","Preparação especializada para o exame TOEFL"
"Spring and fall session intakes","","2 Starttermine pro Jahr","2 fechas de inicio al año","2 dates de début par an","2 date di inizio all’anno","春・秋ごとの入学","연 2회 개강","2 datas de início por ano"
"Start your preparation to enter college or university in the U.S. or abroad.","ابدأ تحضيرك للالتحاق بالجامعة في الولايات المتحدة أو في الخارج.","Beginne deine Vorbereitung, um ein College oder eine Universität in den USA oder im Ausland zu besuchen.","Comienza tu preparación para ingresar a una universidad o colegio en los Estados Unidos o en el extranjero.","Commencez votre préparation pour entrer dans une université ou un collège aux États-Unis ou à l’étranger.","Inizia la tua preparazione per entrare in un college o in un’università negli Stati Uniti o all’estero.","アメリカまたは海外の大学・カレッジへの進学に向けて準備を始めましょう。","미국이나 해외의 대학에 진학하기 위한 준비를 시작하세요.","Comece sua preparação para ingressar em uma faculdade ou universidade nos Estados Unidos ou no exterior."
"Studio (max. 1)","ستوديو (بحد أقصى 1)","","","","","スタジオ（最大1室）","스튜디오 (최대 1개)","Estúdio (máx. 1)"
"Studio (max. 2)","","Studio (max. 2) mit eigenem Bad","Estudio (máx. 2)","","","","",""
"Study rooms, Lounge, Rooftop terrace","غرف دراسية، صالة، تراس على السطح","Studienräume, Lounge, Dachterrasse","Salas de estudio, salón, terraza en la azotea","Salles d’étude, lounge, terrasse sur le toit","Sale studio, lounge, terrazza panoramica","勉強部屋、ラウンジ、屋上テラス","스터디룸, 라운지, 루프탑 테라스","Salas de estudo, lounge, terraço na cobertura"
"Study rooms, TV lounge, fitness room, outdoor pool (summer only), sauna","غرف الدراسة، صالة التلفزيون، غرفة اللياقة البدنية، مسبح خارجي (فقط في الصيف)، ساونا","Studieräume, TV-Lounge, Fitnessraum, Außenpool (nur im Sommer), Sauna","Salas de estudio, salón de TV, sala de fitness, piscina al aire libre (solo en verano), sauna","Salles d'étude, salon TV, salle de fitness, piscine extérieure (été uniquement), sauna","Sale studio, salotto TV, sala fitness, piscina all'aperto (solo in estate), sauna","自習室、TVラウンジ、フィットネスルーム、屋外プール（夏季限定）、サウナ","스터디 룸, TV 라운지, 피트니스룸, 야외 수영장 (여름 한정), 사우나","Salas de estudo, sala de TV, sala de fitness, piscina ao ar livre (apenas no verão), sauna"
"Surf in one of the top surf spots","حصص تزحلق في الامواج","","Surf en el paraiso de los surfistas","Le paradis du surf","Surfa in una location top mondiale","最高のサーフスポットでサーフィン","세계적인 서핑 스팟에서 서핑하기","Surfe nos melhores pontos do mundo"
"Surfing max 5 per instructor, English max 12 per teacher","","Surfen: maximal 5 Personen pro Instruktor, Englisch: maximal 12 Personen pro Lehrer","Surfing máx 5 por instructor, Inglés máx 12 por profesor","","Surf: massimo 5 per istruttore, Inglese: massimo 12 per insegnante","","강사당 서핑 최대 5명, 영어 최대 12명","Surfe: máximo de 5 por instrutor, Inglês: máximo de 12 por professor"
"TOEFL Exam Preparation 23 - GE20+TOEFL3","TOEFL Exam Preparation 23 - GE20 + TOE3","TOEFL Exam Preparation 23 - GE20 + TOE3","TOEFL Exam Preparation 23 - GE20 + TOE3","TOEFL Exam Preparation 23 - GE20 + TOE3","TOEFL Exam Preparation 23 - GE20 + TOE3","TOEFL Exam Preparation 23 - GE20 + TOE3","TOEFL Exam Preparation 23 - GE20 + TOE3","TOEFL Exam Preparation 23 - GE20 + TOE3"
"TOEFL Exam Preparation 24 - GE20+TOEFL4","TOEFL Exam Preparation 24 - GE20 + TOE","Examensvorbereitungskurs TOEFL 24 - GE20 + TOE4","Preparación examen TOEFL 24 - GE20 + TOE4","TOEFL Exam Preparation 24 - GE20 + TOE4","TOEFL Exam Preparation 24 - GE20 + TOE4","TOEFL Exam Preparation 24 - GE20 + TOE4","TOEFL Exam Preparation 24 - GE20 + TOE4","TOEFL Exam Preparation 24 - GE20 + TOE4"
"TOEFL Exam Preparation 28 - GE24+TOEFL4","TOEFL Exam Preparation 28 - GE24 + TOE4","Examensvorbereitungskurs TOEFL 28 - GE24 + TOE4","Preparación examen TOEFL 28 - GE24 + TOE4","TOEFL Exam Preparation 28 - GE24 + TOE4","TOEFL Exam Preparation 28 - GE24 + TOE4","TOEFL Exam Preparation 28 - GE24 + TOE4","TOEFL Exam Preparation 28 - GE24 + TOE4","TOEFL Exam Preparation 28 - GE24 + TOE4"
"Upper Intermediate and Higher","ابتداء من المستوى المتوسط فما فوق","ab Sprachniveau B2","intermedio superior y avanzado","Niveau intermédiaire supérieur et plus","Intermedio superiore e avanzato","中上級以上","Upper intermediate 이상","Intermediário superior e avançado"
"Upper intermediate and higher","ابتداء من المستوى المتوسط فما فوق","ab Sprachniveau B2","intermedio superior y avanzado","Niveau intermédiaire supérieur et plus","Intermedio superiore e avanzato","Upper Intermediate 以上","Upper intermediate 이상","Intermediário superior e avançado"
"✓ 10 - 20 minutes by public transportation to CEL","","","✓ 10 - 20 minutos en transporte público de CEL","","","","",""
"✓ 10 minute walk to CEL","✓ 10 دقائق سيرا على الأقدام إلى CEL","✓ 10 min Fußweg zu CEL","✓ 10 minutos a pie de CEL","✓ À 10 minutes à pied du CEL","✓ 10 minuti a piedi dal CEL","✓ CELまで徒歩10分","✓ CEL까지 10분 도보","✓ 10 minutos andando até a CEL"
"✓ 10-minute walk to Santa Monica Pier","✓ 10 دقائق سيرا على الأقدام إلى رصيف سانتا مونيكا","✓ 10 min Fußweg zum Pier von Santa Monica","✓ A 10 minutos del muelle de Santa Monica","✓ À 10 minutes à pied de la jetée de Santa Monica","✓ 10 minuti a piedi dal Santa Monica Pier","✓ サンタモニカの橋脚から徒歩10分","✓ 산타모니카 부두까지 10분 도보","✓ 10 minutos andando até o Pier de Santa Monica"
"✓ 15 minute walk to the beach","✓ 15 دقائق سيرا على الأقدام إلى الشاطئ","✓ 15 min Fußweg zum Strand","✓ A 15 minutos andando de la playa","✓ À 15 minutes à pied de la plage","✓ 15 minuti a piedi dalla spiaggia","✓ ビーチから徒歩15分","✓ 해변까지 15분 도보","✓ 15 minutos andando até a praia"
"✓ 16 minute walk to CEL","✓ 16 دقائق سيرا على الأقدام إلى CEL","✓ 16 min Fußweg zu CEL","✓ 16 minutos a pie de CEL","✓ À 16 minutes à pied du CEL","✓ 16 minuti a piedi dal CEL","✓ CELまで徒歩16分","✓ CEL까지 16분 도보","✓ 16 minutos andando até a CEL"
"✓ 20 minute walk to Pacific Beach (waves)","","✓ 20 Minuten Fussweg zum Strand mit Wellen (Pacific Beach)","✓ 20 minutos a pie de Pacific Beach (mar con olas)","","","","",""
"✓ 20 minute walk to Venice Beach","✓ 20 دقيقة سيرا على الأقدام إلى شاطئ فينيسيا","✓ 20 min Fußweg zu Venice Beach","✓ A 20 minutos de Venice Beach","✓ À 20 minutes à pied de Venice Beach","✓ 20 minuti a piedi da Venice Beach","✓ ベニスビーチから徒歩20分","✓ 베니스 해변까지 20분 도보","✓ 20 minutos andando para Venice Beach"
"✓ 25 minute walk to CEL","✓ 25 دقائق سيرا على الأقدام إلى CEL","✓ 25 min Fußweg zu CEL","✓ 25 minutos a pie de CEL","✓ À 25 minutes à pied du CEL","✓ 25 minuti a piedi dal CEL","✓ CELまで徒歩25分","✓ CEL까지 25분 도보","✓ 25 minutos andando até a CEL"
"✓ 25 minutes by public transportation to CEL","✓ 25 دقيقة بوسائل النقل العام إلى CEL","✓ 25 Minuten mit öffentlichen Verkehrsmitteln zu CEL","✓ 25 minutos en transporte público hasta CEL","✓ 25 minutes en transport en commun jusqu’à CEL","✓ 25 minuti con i mezzi pubblici fino a CEL","✓ 公共交通機関でCELまで25分","✓ 대중교통으로 CEL까지 25분","✓ 25 minutos de transporte público até a CEL"
"✓ 25 minutes walk to CEL","✓ 25 دقيقة مشيا الى المدرسة CEL","✓ 25 Minuten zu Fuss zu CEL","✓ 25 min andando de CEL","✓ À 25 minutes à pied du CEL","✓ 25 minuti a piedi dal CEL","✓ CELまで徒歩25分","✓ CEL까지 도보 25분","✓ 25 minutos andando até a CEL"
"✓ 30 - 45 minutes by public transportation to CEL","✓ 30-45 دقيقة عن طريق الباص الى المدرسه CEL","✓ 30-45 Minuten Busfahrt zu CEL","✓ 30-45 min en bus de CEL","✓ De 30 à 45 min. en bus jusqu'au CEL","✓ 30-45 minuti dal CEL","✓ CELまでバスで30-45分","✓ 대중교통으로 CEL까지 30~45분 소요","✓ 30-45 minutos de ônibus até a CEL"
"✓ 30 minute walk to CEL","✓ 30 دقائق سيرا على الأقدام إلى CEL","✓ 30 min Fußweg zu CEL","✓ 30 minutos a pie de CEL","✓ À 30 minutes à pied du CEL","✓ 30 minuti a piedi dal CEL","✓ CELまで徒歩30分","✓ CEL까지 30분 도보","✓ 30 minutos andando até a CEL"
"✓ 30 minutes by public transportation to CEL","✓ 30 دقيقة بوسائل النقل العام إلى CEL","✓ 30 Minuten mit öffentlichen Verkehrsmitteln zu CEL","✓ 30 minutos en transporte público hasta CEL","✓ 30 minutes en transport en commun jusqu’à CEL","✓ 30 minuti con i mezzi pubblici fino a CEL","✓ 公共交通機関でCELまで30分","✓ 대중교통으로 CEL까지 30분","✓ 30 minutos de transporte público até a CEL"
"✓ 35 minutes by public transportation to CEL","✓ 35 دقيقة بوسائل النقل العام إلى CEL","✓ 35 Minuten mit öffentlichen Verkehrsmitteln zu CEL","✓ 35 minutos en transporte público hasta CEL","✓ 35 minutes en transport en commun jusqu’à CEL","✓ 35 minuti con i mezzi pubblici fino a CEL","✓ 公共交通機関でCELまで35分","✓ 대중교통으로 CEL까지 35분","✓ 35 minutos de transporte público até a CEL"
"✓ 5 minute walk to the bay (calm water, no waves)","","✓ 5 Minuten Fussweg zur Bay","✓ 5 minutos a pie de la bahía (mar sin olas)","","","","",""
"✓ 5 minute walk to the beach","✓ 5 دقائق سيرا على الأقدام إلى الشاطئ","✓ 5 min Fußweg zum Strand","✓ A 5 minutos andando de la playa","✓ À 5 minutes à pied de la plage","✓ 5 minuti a piedi dalla spiaggia","✓ ビーチから徒歩5分","✓ 해변까지 5분 도보","✓ 5 minutos andando até a praia"
"✓ Air Conditioned","✓ مكيفة الهواء","✓ mit Klimaanlage","✓ Aire acondicionado","✓ Climatisé","✓ Aria condizionata","✓ エアコン付き","✓ 에어컨 설치되어있음","✓ Ar condicionado"
"✓ Air conditioned (common areas only, not bedrooms)","","✓ Klimaanlage im Wohn/Esszimmer nicht in den Schlafzimmern","✓ Aire acondicionado ( solo zonas comunes, no en las habitaciones)","","","","",""
"✓ Amazing location in Downtown Santa Monica close to the beach","","","✓ Ubicación maravillosa en Downtown Santa Monica cerca de la playa","","","","",""
"✓ Average distance to CEL: 25 minutes by public transportation","✓ تتراوح مدة السفر بالمواصلات العامة إلى CEL بين 25 دقيقة","✓ Im Durchschnitt 25 min mit öffentlichen Verkehrsmitteln zu CEL","✓ A un promedio de 25 min en transporte público de CEL","✓ Le temps de trajet en transports en commun jusqu'au CEL varie entre 30 et 45 minutes","✓ 25 minuti con mezzi pubblici dal CEL","✓ CELまでの公共交通機関でかかる時間:25分","✓ CEL까지 대중교통으로 25분","✓ 30-45 minutos de transporte público para a CEL"
"✓ Average distance to CEL: 30 to 45 minutes by public transportation","✓ تتراوح مدة السفر بالمواصلات العامة إلى CEL بين 30 و45 دقيقة","✓ Im Durchschnitt 30-45 min mit öffentlichen Verkehrsmitteln zu CEL","✓ A un promedio de 30 a 45 min en transporte público de CEL","✓ Le temps de trajet en transports en commun jusqu'au CEL varie entre 30 et 45 minutes","✓ 30-45 minuti con mezzi pubblici dal CEL","✓ CELまでの公共交通機関でかかる時間:30-45分","✓ CEL까지 대중교통으로 30 - 45분","✓ 30-45 minutos de transporte público para a CEL"
"✓ Average distance to CEL: 40 to 50 minutes by public transportation","✓ متوسط المسافة إلى CEL: من 40 إلى 50 دقيقة بوسائل النقل العام","✓ Durchschnittliche Entfernung zu CEL: 40 bis 50 Minuten mit öffentlichen Verkehrsmitteln","✓ Promedio de distancia de CEL: 40 a 50 minutos en transporte público","✓ Distance moyenne jusqu’à CEL : 40 à 50 minutes en transport en commun","✓ Distanza media da CEL: 40-50 minuti con i mezzi pubblici","✓ CELまでの平均所要時間：公共交通機関で40～50分","✓ CEL까지 평균 거리: 대중교통으로 40~50분 소요","✓ Distância média até a CEL: 40 a 50 minutos de transporte público"
"✓ BBQ Area","✓ منطقة للشواء","✓ Grillbereich","✓ Zona de BBQ","✓ Espace barbecue","✓ Area barbecue","✓ バーベキューエリア","✓ 바비큐장","✓ Área para churrasco"
"✓ Bedrooms with Sleeping Pods","✓ غرف نوم مع كبسولات النوم","✓ Schlafzimmer mit Bettnischen","✓ Habitaciones con cápsulas dormitorio","✓ Chambres avec lits capsules","✓ Camere da letto con sleeping pod","✓ スリープポッド付きの寝室","✓ 수면 포드가 있는 침실","✓ Quartos com cápsulas para dormir"
"✓ Breakfast and dinner","✓ General info 1","✓ Halbpension","✓ Desayuno y media pensión","✓ Demi-pension","✓ Colazione e cena","✓ General info 1","✓ General info 1","✓ Café da manhã e jantar"
"✓ Breakfast or breakfast and dinner","✓ الإفطار أو الإفطار والعشاء","✓ Frühstück oder Halbpension","✓ Desayuno o media pensión","✓ Petit-déjeuner ou demi-pension","✓ Colazione o colazione e cena","✓ 朝食、朝食と夕食","✓ 아침식사 또는 아침식사와 저녁식사","✓ Café da manhã ou café da manhã e jantar"
"✓ Check-in before 22:00","✓ تسجيل الوصول قبل الساعة 22:00","✓ Check-In vor 22:00 Uhr","✓ Check-in antes de las 22:00","✓ Enregistrement avant 22h00","✓ Check-in: entro le 22:00","✓ 22:00以前にチェックイン","✓ 체크인: 22:00 이전","✓ Check-in: antes das 22h"
"✓ Check-in: Saturday 16:00 - 20:00 (after 20:00 Check-In only upon request, late check-in fee of $50 applicable)","✓ تسجيل الوصول: السبت من 16:00 إلى 20:00 (بعد الساعة 20:00، تسجيل الوصول فقط عند الطلب، وتطبق رسوم تسجيل وصول متأخر بقيمة 50 دولارًا)","✓ Samstag 16:00 - 20:00 (nach 20:00 Uhr Check-in nur auf Anfrage, Spät-Check-in-Gebühr von 50 $ gilt)","✓ Sábado de 16:00 a 20:00 (después de las 20:00, el check-in solo es posible bajo solicitud, se aplica una tarifa de check-in tardío de $50)","✓ Enregistrement : samedi de 16h00 à 20h00 (après 20h00, enregistrement uniquement sur demande, des frais de 50 $ s'appliquent pour enregistrement tardif)","✓ Check-in: sabato 16:00 - 20:00 (dopo le 20:00 il check-in è solo su richiesta, con supplemento di 50 $ per il check-in tardivo)","✓ チェックイン: 土曜日 16:00 - 20:00 (20:00以降はリクエストに応じてのみチェックイン可能、遅いチェックインには50ドルの追加料金が適用されます)","✓ 체크인: 토요일 16:00 - 20:00 (20:00 이후 체크인은 요청 시에만 가능하며, 50달러의 늦은 체크인 요금이 적용됩니다)","✓ Check-in: Sábado das 16:00 às 20:00 (após as 20:00, check-in somente mediante solicitação, taxa de check-in tardio de $50 aplicável)"
"✓ Check-in: after 16:00","✓ تسجيل الوصول: بعد الساعة 16:00","✓ Check-in: nach 16:00 Uhr","✓ Check-in: después de las 16:00","✓ Check-in : après 16h00","✓ Check-in: dopo le 16:00","✓ チェックイン：16:00以降","✓ 체크인: 16:00 이후","✓ Check-in: após as 16:00"
"✓ Check-in: from 15:00 on Saturdays","✓ تسجيل الوصول: من الساعة 15:00 أيام السبت","✓ Check-in: ab 15:00 Uhr samstags","✓ Check-in: a partir de las 15:00 los sábados","✓ Enregistrement : à partir de 15h00 le samedi","✓ Check-in: a partire dalle 15:00 il sabato","✓ チェックイン：土曜日の15:00以降","✓ 체크인: 토요일 오후 3시부터","✓ Check-in: a partir das 15:00 aos sábados"
"✓ Check-out: Saturday before 11:00","✓ 11:00 تسجيل المغادرة: السبت قبل الساعة","✓ Check-out: Samstag vor 11:00 Uhr","✓ Check-out: Sábado antes de las 11:00","✓ Départ : samedi avant 11h00","✓ Check-out: sabato prima delle 11:00","✓ チェックアウト: 土曜日 11:00 前まで","✓ 체크아웃: 토요일 오전 11시 이전","✓ Check-out: Sábado antes das 11:00"
"✓ Cleaning available upon request ($)","","","✓ Servicio de limpieza bajo petición ($)","","","","",""
"✓ Cleaning of common areas provided every second week","✓ يتم توفير تنظيف المناطق المشتركة كل أسبوعين","✓ Reinigung der Gemeinschaftsräume erfolgt jede zweite Woche","✓ Limpieza de areas comunes cada dos semanas","✓ Nettoyage des espaces communs fourni une semaine sur deux","✓ Pulizia delle aree comuni fornita a settimane alternate","✓ 共用スペースの掃除は2週間ごとに行われる","✓ 공용 공간 청소가 2주에 한 번 제공됨","✓ Limpeza das áreas comuns realizada a cada duas semanas"
"✓ Cleaning provided every second week","✓ يتم توفير التنظيف كل أسبوعين","✓ Reinigung erfolgt jede zweite Woche","✓ Se proporciona servicio de limpieza cada dos semanas","✓ Nettoyage fourni une semaine sur deux","✓ Pulizie fornite a settimane alternate","✓ 掃除は2週間ごとに行われる","✓ 2주에 한 번 청소가 제공됨","✓ Limpeza fornecida a cada duas semanas"
"✓ Cleaning provided once a week","✓ يتم توفير التنظيف مرة واحدة في الأسبوع","✓ Reinigung erfolgt jede Woche","✓ Servicio de limpieza semanal una vez a la semana","✓ Nettoyage fourni une fois par semaine","✓ Pulizie fornite una volta alla settimana","✓ 掃除は1週間ごとに行われる","✓ 주간 한 번 청소가 제공됨","✓ Limpeza fornecida uma vez por semana"
"✓ Close to supermarkets, restaurants and department stores","✓ بالقرب من محلات السوبر ماركت والمطاعم والمتاجر","✓ Fußläufig zu Supermarkt, Restaurants, und Geschäften","✓ Cerca de supermercados, restaurantes, y departamentos comerciales","✓ Proche des supermarchés, des restaurants et des grands magasins","✓ Vicino a supermercati, ristoranti e grandi magazzini","✓ スーパーマーケット、レストラン、デパートが近くにある","✓ 슈퍼마켓, 레스토랑, 백화점과 가까움","✓ Perto de supermercados, restaurantes e lojas de departamento"
"✓ Convenient location in Downtown Santa Monica close to the beach","","","✓ Ubicación conveniente en Downtown Santa Monica cerca e la playa","","","","",""
"✓ Conveniently located in Downtown Vancouver","✓ موقع مريح في وسط مدينة فانكوفر","✓ Günstig gelegen in der Innenstadt von Vancouver","✓ Convenientemente ubicado en el centro de Vancouver","✓ Idéalement situé au centre-ville de Vancouver","✓ Comodamente situato nel centro di Vancouver","✓ バンクーバーのダウンタウンに便利な立地","✓ 밴쿠버 다운타운에 편리하게 위치","✓ Convenientemente localizado no centro de Vancouver"
"✓ Conveniently located in Pacific Beach/Mission Bay","","✓ Tolle Lage direkt in Pacific Beach/Mission Bay","✓ Ubicado cómodamente en Pacific Beach/Mission Bay","","","","",""
"✓ Daily (facilities only) during the week (Monday to Friday)","","","✓ Servicios diarios durante la semana (de lunes a viernes)","","","","",""
"✓ Different parts of Los Angeles (e.g. Westwood)","✓ أجزاء مختلفة من لوس أنجلوس (مثل ويستوود)","✓ In verschiedenen Stadtteilen von Los Angeles gelegen (zum Beispiel Westwood)","✓ Diferentes partes de Los Angeles (p.ej Westwood)","✓ Différentes parties de Los Angeles (par exemple Westwood)","✓ Diverse zone di Los Angeles (ad esempio Westwood)","✓ ロサンゼルスの別の地域(例:ウェストウッド)","✓ 로스앤젤레스의 다양한 지역 (예: 웨스트우드)","✓ Diferentes partes de Los Angeles (exemplo: Westwood)"
"✓ Different parts of San Diego","✓ أجزاء مختلفة من سان دييغو","✓ In verschiedenen Stadtteilen von San Diego","✓ Diferentes partes de San Diego","✓ Différentes parties de San Diego","✓ Diverse zone di San Diego","✓ サンディエゴの別の地域","✓ 샌디에고의 여러 지역","✓ Diferentes partes de San Diego"
"✓ Different parts of Santa Monica & Los Angeles","✓ أجزاء مختلفة من سانتا مونيكا ولوس أنجلوس","✓ In verschiedenen Stadtteilen von Santa Monica & Los Angeles","✓ Diferentes partes de Santa Monica y Los Angeles","✓ Différentes parties de Santa Monica et de Los Angeles","✓ Diverse zone di Santa Monica e Los Angeles","✓ サンタモニカ、ロサンゼルスの別の地域","✓ 산타모니카 & 로스앤젤레스의 다양한 지역","✓ Diferentes partes de Santa Monica e Los Angeles"
"✓ Double rooms have two separate beds and can only be booked by two students traveling together","✓ تحتوي الغرف المزدوجة على سريرين منفصلين، ولا يمكن حجزها إلا من قبل طالبين يسافران معًا","✓ Doppelzimmer - zwei getrennte Betten die nur für zusammen Reisende buchbar sind","✓ Las habitaciones dobles solo pueden ser reservadas por alumnos que viajan juntos (dos camas twin)","✓ Les chambres doubles ont deux lits séparés et ne peuvent être réservées que par deux étudiants voyageant ensemble","✓ Le camere matrimoniali possono essere prenotate solo da due studenti che viaggiano insieme","✓ ダブルルームは、一緒に旅行をしている学生二人にのみ予約可能","✓ 이중 객실은 함께 여행하는 두 학생만 예약 가능","✓ Quartos duplos só podem ser reservados por dois estudantes que estão viajando juntos"
"✓ Each Apartment has 2 bedrooms and 1 bathroom","","✓ Jedes Apartment hat 2 Schlafzimmer und 1 Badezimmer","✓ Cada apartamento tiene 2 habitaciones y un baño","","","","","✓ Cada apartamento tem 2 quartos e 2 banheiro"
"✓ Each Apartment has 2 bedrooms and 2 bathrooms","✓ تحتوي كل شقة على غرفتي نوم وحمامين","✓ Jedes Apartment hat 2 Schlafzimmer und 2 Badezimmer","✓ Cada apartamento tiene 2 habitaciones y 2 baños","✓ Chaque appartement a 2 chambres et 2 salles de bains","✓ Ogni appartamento dispone di 2 camere da letto e 2 bagni","✓ それぞれのマンションに、寝室2部屋、バスルーム2部屋付き","✓ 각 아파트에는 침실 2개와 욕실 2개가 있음","✓ Cada apartamento tem 2 quartos e 2 banheiros"
"✓ Each apartment has 2 bedrooms and one full bath plus one additional toilet","","✓ Jedes Apartment hat ein Badezimmer plus eine separate Toilette.","✓ Cada apartamento tiene 2 habitaciones con una bañera y un inodoro adicional","","","","✓ 각 아파트에는 침실 2개와 욕실 1개, 화장실 1개가 있습니다.",""
"✓ Every bedroom has a TV","","✓ Jedes Schlafzimmer hat einen eigenen Fernseher","","","","","✓ 모든 침실에 TV 있음",""
"✓ Fairview district of Vancouver","✓ حي فيرفيو في فانكوفر","✓ Fairview-Viertel in Vancouver","✓ Distrito Fairview de Vancouver","✓ Quartier Fairview de Vancouver","✓ Distretto Fairview di Vancouver","✓ バンクーバーのフェアビュー地区","✓ 밴쿠버 페어뷰 지구","✓ Distrito Fairview de Vancouver"
"✓ Fitness center","","✓ Fitnessstudio","✓ Gimnasio","","","","✓ 피트니스 센터",""
"✓ Fitness room","","","✓ Gimnasio","","","","",""
"✓ Free Wi-Fi","","✓ Kostenloses WLAN","✓ Wi-Fi gratis","","","","✓ 무료 와이파이",""
"✓ Free Wifi","","✓ Kostenloses WLAN","","","","","✓ 무료 와이파이",""
"✓ Fully Equipped Kitchen","","✓ Vollausgestattete Küche","✓ Cocina totalmente equipada","✓ Cuisine entièrement équipée","✓ Cucina completamente attrezzata","","✓ 완비된 주방","✓ Cozinha totalmente equipada"
"✓ Fully Equipped Kitchen with Dishwasher","✓ مطبخ مجهز بالكامل مع غسالة صحون","✓ Vollausgestattete Küche mit Spülmaschine","✓ Cocina totalmente equipada con lavavajillas","✓ Cuisine entièrement équipée avec lave-vaisselle","✓ Cucina completamente attrezzata con lavastoviglie","✓ 皿洗機付きの完全装備されたキッチン","✓ 식기세척기가 있는 완비된 주방","✓ Cozinha totalmente equipada com máquina de lavar louça"
